German,English
ab,away
abbiegen,turn
die Abbildung,the illustration
das Abenteuer,the adventure
aber,but
abfahren,depart
die Abfahrt,the farewell
der Abfall,the waste
der Abfalleimer,the trash can
Abgase (Pl.),exhaust gases (pl.)
abgeben,hand over
abhängen,depend
abhängig,dependent
abheben,lift up
abholen,pick up
abschreiben,write off
"das Abitur (D)
→ A","the Abitur (D)
→ A"
ablehnen,refuse
abmachen,settle
abnehmen,lose weight
abonnieren,subscribe
das Abonnement,the subscription
absagen,cancel
der Abschluss,the conclusion
der Abschnitt,the section
der Absender,the sender
die Absicht,the intention
absolut,absolutely
abstimmen,vote
die Abteilung,the Department
der Abwart,the watchman
abwärts,down
abwaschen,wash off
abwesend,absent
achten,regard
Achtung!,Danger!
die Adresse,the address
ähnlich,similar
die Ahnung,the hunch
die Aktion,the action
aktiv,active
die Aktivität,the activity
aktuell,current
akzeptieren,accept
der Alarm,the alarm
der Alkohol,the alcohol
all-,all-
allein,alone
aller-,all-
allerdings,however
allgemein,generally
der Alltag,the everyday
alltäglich,everyday
das Alphabet,the alphabet
als,as
als ob,as if
also,so
alt,old
das Alter,the age
das Altenheim,the retirement home
das Altersheim,the retirement home
alternativ,alternatively
die Alternative,the alternative
die Ampel,the traffic light
das Amt,the Office
sich amüsieren,have fun
an,to
analysieren,analyze
anbieten,offer
der Anbieter,the provider
das Angebot,the offer
ander-,at the-
andererseits,on the other hand
ändern,change
die Änderung,the change
anders,different
anerkennen,recognize
anfangen,begin
der Anfang,the beginning
anfangs,initially
angeben,indicate
die Angabe,the information
der Angehörige,the relative
angenehm,pleasant
die Angst,the fear
ängstlich,fearful
anhaben,have on
anklicken,click
ankommen,arrive
die Ankunft,the arrival
ankündigen,announce
die Anlage,the attachment
die Anleitung,the instructions
anmelden,register
die Anmeldung,the registration
annehmen,assume
die Annonce,the advertisement
die Anrede,the salutation
anrufen,call
der Anruf,the call
der Anrufbeantworter,the answering machine
die Ansage,the announcement
anschaffen,acquire
anschließen,connect
der Anschluss,the connection
anschnallen,buckle up
ansehen,view
ansprechen,address
der Anspruch,the claim
anstellen,hire
der Angestellte,the employee
sich anstrengen,make an effort
anstrengend,stressful
der Antrag,the application
anwenden,apply
anwesend,present
antworten,answer
die Antwort,the answer
der Anwalt,the lawyer
anzeigen,show
die Anzeige,the ad
(sich) anziehen,(to get dressed
der Anzug,the suit
das Apartment,the apartment
der Apfel,the Apple
die Apotheke,the pharmacy
der Apparat,the apparatus
der Appetit,the appetite
die Aprikose,the apricot
arbeiten,work
die Arbeit,the work
der Arbeiter,the worker
die Arbeitserlaubnis,the work permit
arbeitslos,unemployed
die Arbeitslosigkeit,the unemployment
der Arbeitsplatz,the workplace
die Arbeitsstelle,the workplace
der Architekt,the architect
(sich) ärgern,(get angry
der Ärger,the anger
ärgerlich,annoying
arm,arm
der Arm,the arm
die Art,the type
der Artikel,the article
der Arzt,the doctor
das Asyl,the asylum
atmen,breathe
der Atem,the breath
auch,also
auf,on
der Aufenthalt,the stay
auffallen,stand out
auffordern,request
die Aufforderung,the request
aufführen,perform
die Aufgabe,the task
aufgeben,give up
aufhalten,stop
aufheben,lift
aufhören,stop
aufladen,charge
auflösen,dissolve
aufmerksam,attentive
aufnehmen,to record
die Aufnahme,the recording
aufpassen,watch out
aufräumen,clean up
aufregen,excite
aufstehen,stand up
der Auftrag,the order
auftreten,appear
der Auftritt,the appearance
aufwachen,wake up
aufwärts,upwards
der Aufzug,the elevator
das Auge,the eye
der Augenblick,the moment
aus,out of
die Ausbildung,the training
ausgebildet,trained
