word, sentences,english_meaning
ab,"1. Die Fahrt kostet ab Hamburg 200 Euro.
2. Ab nächster Woche bleibt unser Geschäft samstags geschlossen.
3. Mein Bruder besucht uns ab und zu.",away
"abbiegen, biegt ab, bog ab, ist abgebogen",An der nächsten Kreuzung müssen Sie links abbiegen.,turn
"die Abbildung, -en","Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.",the illustration
"das Abenteuer, -","1. Unser Urlaub war ein tolles Abenteuer.
2. Die Kinder lieben Abenteuergeschichten.",the adventure
aber,"1. Heute kann ich nicht, aber morgen ganz bestimmt.
2. Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren.
3. Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.
4. Es war sehr schön. Jetzt muss ich aber gehen.
5. Ich würde gerne kommen, aber es geht leider nicht.
6. Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern.
7. Du spielst aber gut Klavier.",but
"abfahren, fährt ab, fuhr ab, ist abgefahren",Unser Zug ist pünktlich abgefahren.,depart
"die Abfahrt, -en",Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.,the farewell
"der Abfall, ¨-e",Werfen Sie den Bioabfall bitte nicht zum normalen Müll.,the waste
"der Abfalleimer, -",Wirf das bitte in den Abfalleimer!,the trash can
Abgase (Pl.),Abgase aus Industrie und Haushalten verschmutzen die Luft.,exhaust gases (pl.)
"abgeben, gibt ab, gab ab, hat abgegeben",Ich soll dieses Päckchen bei Herrn Müller abgeben.,hand over
"abhängen, hängt ab, hing ab, hat abgehangen (von)","Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.",depend
abhängig,Gregor ist finanziell von seinen Eltern abhängig.,dependent
"abheben, hebt ab, hob ab, hat abgehoben",Für die Reise habe ich 500 Euro von meinem Konto abgehoben.,lift up
"abholen, holt ab, holte ab, hat abgeholt",Meine Freundin hat mich vom Bahnhof abgeholt.,pick up
"abschreiben, schreibt ab, schrieb ab, hat abgeschrieben",Er hat die Hausaufgaben von mir abgeschrieben.,write off
"das Abitur (D)
→ A, CH: Matura",Meine Tochter hat gerade Abitur gemacht.,"the Abitur (D)
→ A"
"ablehnen, lehnt ab, lehnte ab, hat abgelehnt","Er hat mein Angebot, ihm zu helfen, abgelehnt.",refuse
"abmachen, macht ab, machte ab, hat abgemacht","Wir hatten doch abgemacht, dass du die Getränke besorgst.",settle
"abnehmen, nimmt ab, nahm ab, hat abgenommen","1. Morgen können wir den Verband abnehmen.
2. Ich habe zehn Kilo abgenommen.",lose weight
"abonnieren, abonniert, abonnierte, hat abonniert",Diese Zeitschrift würde ich gerne abonnieren.,subscribe
"das Abonnement, -s/-e",Ich habe das Abonnement gekündigt.,the subscription
